record_id,phase_predicted,drift_crossed_predicted,response_crossed_predicted,tail_causal_starvation_certified_predicted,weak_only_learnable_predicted,tau_star_drift_predicted,tau_star_response_predicted,phase_observed,drift_crossed_observed,response_crossed_observed,tail_causal_starvation_certified_observed,weak_only_learnable_observed,tau_star_drift_observed,tau_star_response_observed,model_kind,rho,lag_separation,regime,data_seed,model_seed,phase_correct,drift_crossing_correct,response_crossing_correct,certificate_correct,learnability_correct,predicted_drift_time,observed_drift_time,drift_time_error,predicted_response_time,observed_response_time,response_time_error,n_trajectory_points,response_gap_rmse,drift_rmse,response_gap_sign_agreement,drift_sign_agreement,both_m_w_rmse,weak_m_w_rmse
tanh_rho-4_lag-2_positive_data-203_model-2014,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.1190714903989712,0.248890641127784,transfer_then_starvation,True,True,True,True,0.28008654119879806,0.5269453672334967,tanh,4.0,2,positive,203,2014,False,True,True,False,False,0.1190714903989712,0.28008654119879806,-0.16101505079982686,0.248890641127784,0.5269453672334967,-0.2780547261057127,101,2.410511662200034,0.49508880474619255,0.9702970297029703,0.9900990099009901,0.04033602418555684,2.4484292385288415
tanh_rho-4_lag-2_positive_data-203_model-2015,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.2721390224865083,0.6349039078054483,transfer_then_starvation,True,True,True,True,0.340463145533387,0.7369951614455295,tanh,4.0,2,positive,203,2015,False,True,True,False,False,0.2721390224865083,0.340463145533387,-0.06832412304687874,0.6349039078054483,0.7369951614455295,-0.1020912536400812,101,2.465505915951422,0.5151481743528954,0.9900990099009901,0.9900990099009901,0.02669457095271669,2.490772730735689
tanh_rho-4_lag-2_positive_data-203_model-2016,transfer_then_suppression,True,False,False,False,0.0430174083565985,inf,transfer_then_suppression,True,False,False,True,0.032147318546410585,inf,tanh,4.0,2,positive,203,2016,True,True,True,True,False,0.0430174083565985,0.032147318546410585,0.010870089810187916,,,,101,2.3571169532175515,0.49847118748749564,1.0,1.0,0.03739598893750333,2.3926929298860986
tanh_rho-4_lag-2_positive_data-203_model-2017,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,203,2017,True,True,True,True,True,,,,,,,101,2.502307076070298,0.49681046518265165,1.0,1.0,0.02241807475691469,2.5241816083081394
tanh_rho-4_lag-2_positive_data-204_model-2010,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,204,2010,True,True,True,True,True,,,,,,,101,2.4480157046224944,0.45966058916613883,1.0,1.0,0.06393048050228209,2.510271479882081
tanh_rho-4_lag-2_positive_data-204_model-2011,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,204,2011,True,True,True,True,True,,,,,,,101,2.5657093437012066,0.4917882058651108,1.0,1.0,0.019053447676107622,2.5846052577707854
tanh_rho-4_lag-2_positive_data-204_model-2012,transfer_then_starvation,True,True,True,True,0.0587648499764375,0.1148284255419647,transfer_then_starvation,True,True,True,True,0.07363311027343546,0.14395911471532355,tanh,4.0,2,positive,204,2012,True,True,True,True,True,0.0587648499764375,0.07363311027343546,-0.014868260296997955,0.1148284255419647,0.14395911471532355,-0.029130689173358856,101,2.423314186913246,0.45606124711360135,1.0,1.0,0.04393290639748071,2.4661705201187405
tanh_rho-4_lag-2_positive_data-204_model-2013,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,204,2013,True,True,True,True,True,,,,,,,101,2.441482524032123,0.5004796135080423,1.0,1.0,0.03264677080615507,2.4725470188570946
tanh_rho-4_lag-2_positive_data-204_model-2014,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.1187378889763871,0.2480520229035435,transfer_then_starvation,True,True,True,True,0.28028280965185703,0.5263410563518555,tanh,4.0,2,positive,204,2014,False,True,True,False,False,0.1187378889763871,0.28028280965185703,-0.16154492067546994,0.2480520229035435,0.5263410563518555,-0.27828903344831196,101,2.4065771331978483,0.49267298452751956,0.9702970297029703,0.9900990099009901,0.04120570745751318,2.4453786540602054
tanh_rho-4_lag-2_positive_data-204_model-2015,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.2714477030259076,0.6319622811289661,transfer_then_starvation,True,True,True,True,0.34101636952772896,0.7357124217970213,tanh,4.0,2,positive,204,2015,False,True,True,False,False,0.2714477030259076,0.34101636952772896,-0.06956866650182136,0.6319622811289661,0.7357124217970213,-0.10375014066805521,101,2.4612411072444353,0.5125868570495138,0.9900990099009901,0.9900990099009901,0.027477288790622566,2.4872873896246084
tanh_rho-4_lag-2_positive_data-204_model-2016,transfer_then_suppression,True,False,False,False,0.0436552073722892,inf,transfer_then_suppression,True,False,False,True,0.03247131312253714,inf,tanh,4.0,2,positive,204,2016,True,True,True,True,False,0.0436552073722892,0.03247131312253714,0.011183894249752059,,,,101,2.3530744583906924,0.49589069561890065,1.0,1.0,0.03816654330106015,2.389438836222647
tanh_rho-4_lag-2_positive_data-204_model-2017,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,204,2017,True,True,True,True,True,,,,,,,101,2.494061910741408,0.49398734542708017,1.0,1.0,0.022989868113156148,2.516510290360088
gru_rho-4_lag-2_positive_data-201_model-2010,suppression_throughout,False,False,False,False,inf,inf,suppression_throughout,False,False,False,False,inf,inf,gru,4.0,2,positive,201,2010,True,True,True,True,True,,,,,,,101,0.011677395212359835,0.008442797532222202,1.0,1.0,0.024710477587320877,0.02469519125307905
gru_rho-4_lag-2_positive_data-201_model-2011,transfer_then_outcome_crossing_unlearnable,True,True,False,False,1.5950711332419132,4.138769067456466,transfer_then_outcome_crossing_unlearnable,True,True,False,False,3.1788970143340225,6.406083985063059,gru,4.0,2,positive,201,2011,True,True,True,True,True,1.5950711332419132,3.1788970143340225,-1.5838258810921093,4.138769067456466,6.406083985063059,-2.267314917606593,101,0.013943622175341678,0.010095176624733927,0.7722772277227723,0.8415841584158416,0.02313356212717575,0.02760167424414468
gru_rho-4_lag-2_positive_data-201_model-2012,suppression_throughout,False,False,False,False,inf,inf,suppression_throughout,False,False,False,False,inf,inf,gru,4.0,2,positive,201,2012,True,True,True,True,True,,,,,,,101,0.011246426262723134,0.008358458164629004,1.0,1.0,0.018229984216776764,0.023776608672082516
gru_rho-4_lag-2_positive_data-201_model-2013,transfer_then_outcome_crossing_unlearnable,True,True,False,False,1.9600891028826128,5.4196859412897025,transfer_then_outcome_crossing_unlearnable,True,True,False,False,3.5280894759522434,6.924538643570005,gru,4.0,2,positive,201,2013,True,True,True,True,True,1.9600891028826128,3.5280894759522434,-1.5680003730696306,5.4196859412897025,6.924538643570005,-1.5048527022803029,101,0.018902150768820694,0.01392272378771903,0.8514851485148515,0.8415841584158416,0.030037046789682595,0.037833220118558004
gru_rho-4_lag-2_positive_data-201_model-2014,transfer_then_outcome_crossing_unlearnable,True,True,False,False,1.3248156446427164,3.2608538382740946,transfer_then_outcome_crossing_unlearnable,True,True,False,False,3.178235379606124,6.07336275749413,gru,4.0,2,positive,201,2014,True,True,True,True,True,1.3248156446427164,3.178235379606124,-1.8534197349634074,3.2608538382740946,6.07336275749413,-2.8125089192200354,101,0.013757539745162523,0.010229180113500514,0.7227722772277227,0.8217821782178217,0.023901939272614744,0.025772714309661306
