record_id,dataset,data_seed,model_seed,weak_auc_gap,weak_only_learnable,outcome_suppression,causal_certificate,both_first_hit_tau,weak_only_first_hit_tau,first_drift_crossing_tau,first_response_crossing_tau,drift_sign_change_count,response_sign_change_count,positive_drift_area,negative_drift_area,both_cue_free_accuracy,both_aligned_accuracy,both_conflicted_accuracy,weak_only_cue_free_accuracy,weak_only_aligned_accuracy,weak_only_conflicted_accuracy,wall_time_seconds,process_peak_rss_bytes
sr-fashion_mnist-d4102-m5108,fashion_mnist,4102,5108,0.00067722038656938823,false,false,false,,,,,1,1,0.00040071874989745847,0.00023792211066403846,0.546875,0.98046875,0.015625,0.5,0.5,0.5,44.00784524998744,732168192
sr-fashion_mnist-d4103-m5101,fashion_mnist,4103,5101,0.0019917430949135447,false,false,false,,,,,0,0,0,0.00070631343814966377,0.50390625,0.9375,0.125,0.625,0.5703125,0.53515625,44.66977662499994,732168192
sr-fashion_mnist-d4103-m5102,fashion_mnist,4103,5102,-0.0011649938416667281,false,false,false,,,,,1,1,0.0014747788475194946,0.000112559941813536,0.6640625,0.984375,0.0546875,0.64453125,0.65625,0.609375,44.718569832999492,732168192
sr-fashion_mnist-d4103-m5103,fashion_mnist,4103,5103,-0.0028629273787373678,false,false,false,,,,,0,0,0.0015124799625482414,0,0.60546875,0.83984375,0.3671875,0.59375,0.5859375,0.62890625,44.57707554101944,732168192
sr-fashion_mnist-d4103-m5104,fashion_mnist,4103,5104,0.0040073382580885662,false,false,false,,,,,0,0,0,0.0012995341239729896,0.49609375,0.76171875,0.359375,0.69921875,0.55859375,0.74609375,44.351291667000623,732168192
sr-fashion_mnist-d4103-m5105,fashion_mnist,4103,5105,-0.0033708430237311404,false,false,false,,,,,0,0,0.0022118405642686406,0,0.61328125,1,0.01953125,0.50390625,0.5078125,0.49609375,43.303341125021689,732168192
sr-fashion_mnist-d4103-m5106,fashion_mnist,4103,5106,0.0050726458815915981,false,false,false,,,,,0,0,0,0.0019565842948395589,0.48828125,0.98828125,0.046875,0.5546875,0.421875,0.6640625,42.534093791007763,732168192
sr-fashion_mnist-d4103-m5107,fashion_mnist,4103,5107,-0.0074126542567682918,false,false,false,,,,,0,0,0.0039249467576155444,0,0.57421875,0.8984375,0.1015625,0.6015625,0.82421875,0.3359375,43.645635290973587,732168192
sr-fashion_mnist-d4103-m5108,fashion_mnist,4103,5108,-0.0028521897795144467,false,false,false,,,,,0,0,0.0017355559368297691,0,0.5,1,0.0078125,0.5,0.5,0.5,44.314793166995514,732168192
sr-fashion_mnist-d4104-m5101,fashion_mnist,4104,5101,-0.00090434918238315712,false,false,false,,,,,1,1,0.00084799319620535417,1.7361499910494404e-06,0.46875,0.796875,0.23828125,0.52734375,0.58203125,0.52734375,44.673260415991535,732168192
sr-fashion_mnist-d4104-m5102,fashion_mnist,4104,5102,0.0029558861395344144,false,false,false,,,,,1,1,0.0014737758017350758,0.001001052758094932,0.5390625,0.78515625,0.33203125,0.58203125,0.6015625,0.578125,44.494832249998581,732168192
sr-fashion_mnist-d4104-m5103,fashion_mnist,4104,5103,0.0023064518813043834,false,false,false,,,,,1,0,0.00066031112291715141,0.00071199720332264021,0.5703125,0.7578125,0.37890625,0.5625,0.5390625,0.59765625,44.551137083006324,732168192
sr-fashion_mnist-d4104-m5104,fashion_mnist,4104,5104,0.0049357627955032507,false,false,false,,,,,1,0,2.9002885106977485e-06,0.0014990889977902207,0.5234375,0.671875,0.3515625,0.6640625,0.57421875,0.7109375,44.429082416987512,732168192
sr-fashion_mnist-d4104-m5105,fashion_mnist,4104,5105,-0.00013265011439216306,false,false,false,,,,,1,1,0.0014552865847306526,0.00028591570740698035,0.6484375,1,0,0.52734375,0.53125,0.48828125,44.578783250006381,732168192
sr-fashion_mnist-d4104-m5106,fashion_mnist,4104,5106,0.0072202182156615898,false,false,false,,,,,0,0,0,0.0028457092856569955,0.47265625,1,0,0.62890625,0.30078125,0.83984375,44.635553375002928,732168192
sr-fashion_mnist-d4104-m5107,fashion_mnist,4104,5107,-0.015133282098031485,false,false,false,,,,,0,0,0.0077246515211299993,0,0.59375,0.86328125,0.1328125,0.625,0.78125,0.29296875,44.753889375017025,732168192
sr-fashion_mnist-d4104-m5108,fashion_mnist,4104,5108,-0.00067838171962648615,false,false,false,,,,,1,1,0.0012023587738624888,0.00010021846630506914,0.5,1,0.00390625,0.5,0.5,0.5,44.671375417005038,732168192
