record_id,model_kind,cell_id,data_seed,model_seed,beta,both_hitting_time,both_hitting_time_status,causal_starvation_certified,gated_delta_tw,gated_delta_tw_status,regime,right_censored,target_met_at_initialization,weak_auc_gap,weak_hitting_time,weak_hitting_time_status,weak_only_learnable,outcome_suppression,all_beta_robust_causal_certificate
esa-tanh-rho3_lag1-d304-m3014,tanh,rho3_lag1,304,3014,2,,right_censored,false,,right_censored,starvation,true,false,20.551452746614814,3.8194025771694342,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3015,tanh,rho3_lag1,304,3015,0.25,2.0720538253450789,finite,false,1.1905880252958703,finite,starvation,false,false,21.434337775222954,0.8814658000492086,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3015,tanh,rho3_lag1,304,3015,0.5,,right_censored,false,,right_censored,starvation,true,false,21.434337775222954,1.4904982922477685,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3015,tanh,rho3_lag1,304,3015,1,,right_censored,false,,right_censored,starvation,true,false,21.434337775222954,2.2595974897208397,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3015,tanh,rho3_lag1,304,3015,2,,right_censored,false,,right_censored,starvation,true,false,21.434337775222954,3.5257846528944681,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3016,tanh,rho3_lag1,304,3016,0.25,1.6167141097577666,finite,true,0.59185141899609084,finite,starvation,false,false,20.280467284657064,1.0248626907616758,finite,true,true,true
esa-tanh-rho3_lag1-d304-m3016,tanh,rho3_lag1,304,3016,0.5,8.0182691749404871,finite,true,6.3599926240569227,finite,starvation,false,false,20.280467284657064,1.6582765508835646,finite,true,true,true
esa-tanh-rho3_lag1-d304-m3016,tanh,rho3_lag1,304,3016,1,,right_censored,true,,right_censored,starvation,true,false,20.280467284657064,2.4426149904435253,finite,true,true,true
esa-tanh-rho3_lag1-d304-m3016,tanh,rho3_lag1,304,3016,2,,right_censored,true,,right_censored,starvation,true,false,20.280467284657064,3.7217576545589033,finite,true,true,true
esa-tanh-rho3_lag1-d304-m3017,tanh,rho3_lag1,304,3017,0.25,2.4831045522322603,finite,false,1.3682428458849734,finite,starvation,false,false,20.841629124619065,1.114861706347287,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3017,tanh,rho3_lag1,304,3017,0.5,,right_censored,false,,right_censored,starvation,true,false,20.841629124619065,1.7393798563399354,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3017,tanh,rho3_lag1,304,3017,1,,right_censored,false,,right_censored,starvation,true,false,20.841629124619065,2.5072429738178799,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3017,tanh,rho3_lag1,304,3017,2,,right_censored,false,,right_censored,starvation,true,false,20.841629124619065,3.7588929817126839,finite,true,false,false
esa-tanh-rho4_lag2-d301-m3010,tanh,rho4_lag2,301,3010,0.25,,right_censored,false,,right_censored,starvation,true,false,17.041442415432535,3.074782037815126,finite,true,false,false
